"","A","B","C","D","E","F","G","H","I"
"Q74CS0",7.2907795,6.556351,6.639505,6.980535,7.29130725,6.886463,7.29130725,6.574835,7.02056
"Q74CM2",7.1035205,6.575592,6.566994,6.673979,7.10047575,6.585506,7.10047575,6.6133575,6.6692165
"Q74DY0",5.877757,5.33687,5.6653715,5.814754,5.920914,6.076968,5.920914,5.7274185,5.878272
"Q74EI5",7.127693,6.87672,6.831711,6.68618,7.150221,6.908506,7.150221,6.850426,6.779823
"Q748J6",5.9626675,5.486759,5.656063,5.965649,5.94608425,5.991514,5.94608425,5.549512,5.9398295
"Q74DZ8",6.857289,5.634004,5.6527835,6.574251,6.8507495,6.791593,6.8507495,5.909617,6.632516
"Q74FE5",6.363424,5.14779,5.2581835,6.330191,6.3690035,6.374748,6.3690035,5.317685,6.3268145
"Q74FT7",5.0489725,5.270256,5.497752,5.469049,5.26660125,5.520585,5.26660125,4.9478245,5.1631845
"Q748A8",7.1076655,6.686967,6.591346,6.502058,7.19643125,6.529097,7.19643125,6.638715,6.5692125
"Q74BI6",6.953587,6.885163,7.0198845,6.719489,6.940707,6.851448,6.940707,6.972647,6.7584235
"Q74AW1",6.75444,6.458789,6.5529835,6.565305,6.75169,6.555675,6.75169,6.532311,6.4693385
"P60599",6.353815,6.401745,6.2773225,6.224662,6.378631,6.213146,6.378631,6.3192545,6.273513
"Q74G65",6.516921,5.701654,5.701559,6.334011,6.6358025,6.645157,6.6358025,5.649961,6.3825425
"P60482",6.437594,6.61325,6.671183,6.776309,6.4774875,6.76165,6.4774875,6.622646,6.63702
"Q74DI6",5.6113775,6.418301,6.4638125,5.88428,5.54216925,5.745777,5.54216925,6.406026,5.7424415
"A0A0D5N5Q1",6.403021,5.379873,5.3954855,6.663626,6.378939,6.608387,6.378939,5.513403,6.5846865
"Q748K3",6.8569335,6.285445,6.1716505,6.805501,6.91566275,6.69193,6.91566275,6.1187215,6.813268
"Q749L9",5.4756235,6.192093,6.079399,5.912939,5.28995175,5.936473,5.28995175,6.076892,5.89322
"Q74GR8",6.240484,5.634538,5.467003,5.783203,6.3045715,5.818107,6.3045715,5.8245715,5.889855
"Q74CW0",5.2639595,5.51102,5.3433665,5.501634,5.26682525,5.406944,5.26682525,5.4448915,5.3406995
"Q74E51",6.091009,5.182811,5.582095,6.161877,6.101102,6.14054,6.101102,5.8468855,6.143109
"Q74H70",6.6319845,6.614792,6.624236,6.621696,6.67395225,6.9731,6.67395225,6.693557,6.774841
"Q746X7",6.8829855,7.092721,7.120384,6.880253,6.82674575,6.858826,6.82674575,7.0842615,6.8320495
"Q74BT4",6.5286605,6.317729,6.24537,6.339034,6.51794775,6.345276,6.51794775,6.266591,6.2926925
"Q74BP0",5.129443,5.107766,5.328124,5.691128,5.074456,5.699945,5.074456,5.1710295,5.2912015
"Q747R0",6.599805,5.518016,5.5189605,6.359475,6.4500045,6.220866,6.4500045,5.4601875,6.367971
"Q74F68",6.215018,6.865015,6.853556,6.273001,6.2554135,6.33381,6.2554135,6.9078945,6.1912395
"Q74FW8",5.17675,5.326991,5.352475,5.660799,5.2089365,5.442338,5.2089365,5.453561,5.4547785
"Q74B14",5.886715,6.400089,6.508109,6.185712,5.9876205,6.210211,5.9876205,6.479471,6.3989085
"Q74CP4",8.377448,7.865039,7.959385,8.167701,8.3813755,8.179839,8.3813755,7.892103,8.15528
"Q74FT3",5.2144975,5.013731,5.3653805,5.345639,4.89864025,5.490326,4.89864025,5.0769105,5.2397685
"Q74F07",5.843167,6.135991,6.3775055,5.580514,5.2211055,6.201561,5.2211055,6.2304145,5.638863
"Q746Z4",6.139443,6.166045,6.0120985,6.291724,6.2089955,6.314478,6.2089955,6.0132365,6.301262
"Q74B32",6.7605185,6.3915,6.49966,6.716721,6.72980925,6.587621,6.72980925,6.4684775,6.657794
"Q74CR9",6.8427575,6.546197,6.6443905,6.72516,6.75611625,6.479978,6.75611625,6.496794,6.7381465
"Q747D6",7.1071605,7.038461,7.093624,7.210854,7.12535325,7.268812,7.12535325,7.0595435,7.208894
"Q747L2",6.494804,6.233275,6.0745455,6.545122,6.5487575,6.380048,6.5487575,6.234225,6.5607375
"Q74CT8",6.1996685,6.20412,6.095618,6.396739,6.21158225,6.388314,6.21158225,6.2241245,6.335229
"CON__sp|P02533|K1C14_HUMAN",5.7571515,6.004278,6.0490775,6.202461,5.48198875,7.125156,5.48198875,6.081426,6.343736
"Q748X8",8.813654,8.563612,8.522685,8.85287,8.801617,8.916433,8.801617,8.5356665,8.8441315
"Q747D7",6.317586,6.45151,6.3897305,6.405124,6.2948765,6.509445,6.2948765,6.3600555,6.438699
"I7F9Q4",6.5432285,6.418102,6.436755,6.61254,6.48364675,6.3369,6.48364675,6.3365665,6.5247485
"Q74GC0",7.0895985,7.183924,7.2194415,6.81492,6.98463975,6.801904,6.98463975,7.3156265,6.7922705
"Q74D67",5.9006945,5.583295,5.6298645,6.148541,5.94137425,6.02061,5.94137425,5.5386795,6.015547
"Q74AC9",7.55724,7.693841,7.42577,7.281806,7.328184,7.151401,7.328184,7.5431545,7.216358
"P60836",6.757641,6.361973,6.3337375,6.533047,6.710459,6.588574,6.710459,6.2393235,6.6212815
"Q74A24",4.8420715,5.15023,5.1853,5.695823,4.84072825,5.398079,4.84072825,5.226452,5.6043005
"Q748D4",6.3915105,5.362407,5.6030785,6.230908,6.36195425,6.218535,6.36195425,5.5381545,6.3644645
"Q74DP6",6.8065305,6.537605,6.67988,6.556351,6.82747675,6.592543,6.82747675,6.6346455,6.5211995
"Q74BT8",5.9137335,6.447654,6.438945,6.240874,5.97740525,6.258924,5.97740525,6.3610675,6.194244
"Q74AL8",7.1486435,7.182301,7.084691,6.959638,7.10668175,6.846059,7.10668175,7.2008905,7.0338645
"Q74GY7",5.7278005,5.843239,5.876833,5.706769,5.90527475,5.877296,5.90527475,5.9258555,5.921094
"Q747W3",5.202814,5.421676,5.47684,5.051222,4.9581015,5.927252,4.9581015,5.417621,5.4800195
"Q74BQ1",5.1761905,5.198301,5.539927,6.012711,5.16562475,5.053376,5.16562475,5.276144,5.8321005
"Q74CT2",6.7974325,6.82566,6.7675115,6.533009,6.79979875,6.519289,6.79979875,6.859361,6.5415515
"Q74G02",6.5424465,6.302028,6.2985115,6.531262,6.52882875,6.541467,6.52882875,6.2822395,6.682096
"Q74FT4",6.6885305,6.539227,6.570866,6.82797,6.69816075,6.855852,6.69816075,6.510979,6.791499
"Q74DJ5",6.588816,6.733534,6.6788875,6.135228,6.5160395,6.26,6.5160395,6.729294,6.117005
"Q74F06",6.1477375,5.555113,5.7141505,6.712144,6.02774375,6.629063,6.02774375,5.3229905,6.6965975
"Q74BW5",6.9371695,7.238523,7.275678,6.935245,6.94198025,6.939609,6.94198025,7.2608215,6.852927
"Q74D32",5.046075,5.569266,5.6393375,5.430325,4.9890625,5.29284,4.9890625,5.580267,5.500323
"Q74AB4",5.6491345,5.662984,5.664877,6.427616,5.64290625,5.812606,5.64290625,5.674475,6.2250015
"Q74AA1",6.506826,5.601528,5.374711,6.258062,6.4099565,6.41392,6.4099565,5.641787,6.312681
"Q74BK7",6.0991395,5.786844,5.9243175,5.420879,6.01339075,5.505014,6.01339075,5.7084275,5.3037625
"Q74A54",5.639713,6.273395,6.1761255,5.897935,5.6471275,5.794829,5.6471275,6.2222095,5.9099435
"Q74GD6",6.7515415,6.182814,5.9500715,6.394557,6.83593125,6.399189,6.83593125,6.0987095,6.3672525
"Q74H60",6.4855,5.266448,5.576689,6.373059,6.504474,6.517605,6.504474,5.344618,6.3524655
"Q74D38",5.797165,6.757775,6.7284595,6.36903,5.9312605,6.383654,5.9312605,6.681098,6.3331215
"Q74GP4",5.778122,5.959676,5.914832,6.113208,5.6970885,5.926929,5.6970885,5.8427125,6.145401
"A0LIY7",4.828951,5.170616,5.446887,5.159972,4.9611765,5.794314,4.9611765,5.426026,5.123601
"Q748K1",6.4643515,5.677461,5.4286515,6.263021,6.43603275,6.236839,6.43603275,5.715016,6.2953025
"A0A0D5N4A1",4.6165285,5.04741,5.29837,5.082282,4.72655525,6.396722,4.72655525,5.1512445,5.2060075
"Q74C40",7.7651705,7.666658,7.5911205,8.06198,7.70786025,8.013554,7.70786025,7.652214,8.0985085
"Q747V8",6.981726,6.226033,6.374082,6.849407,7.062386,6.741136,7.062386,6.268777,6.799819
"P60915",6.6646875,6.639038,6.619837,6.677808,6.64266675,6.77912,6.64266675,6.566965,6.6351535
"Q74DE4",6.8152325,6.179006,6.362935,6.592632,6.77775425,6.616118,6.77775425,6.1961955,6.633098
"I7EP71",6.3686465,6.111363,6.094456,6.315571,6.35062325,6.220317,6.35062325,6.1880315,6.285301
"Q74GX9",7.441211,7.503041,7.463004,7.296753,7.508586,7.359665,7.508586,7.4971945,7.2823725
"Q74D37",6.0267055,7.001257,7.0554855,6.458124,6.09811675,6.550265,6.09811675,6.958096,6.4392875
"Q748M9",7.397245,7.032699,7.031082,7.374583,7.424078,7.294599,7.424078,6.990027,7.295757
"P60885",5.1752015,7.018909,6.7646465,6.11571,5.86475425,5.403,5.86475425,6.9495925,6.0889015
"Q74DP9",7.2271015,7.313129,7.3313585,7.248806,7.22289725,7.147831,7.22289725,7.1782655,7.207233
"Q74E76",6.4050535,6.377907,6.503918,6.556978,6.33797075,6.261001,6.33797075,5.85412,5.7144405
"Q74EA6",5.0100195,6.107413,5.93893,5.516766,4.93369625,5.175844,4.93369625,5.7077575,5.632721
"P60500",6.771548,5.827091,5.82892,6.619886,6.7884325,6.517169,6.7884325,5.727653,6.693406
"Q74AK6",5.3486745,6.029506,5.9683375,5.940362,5.35814575,6.032659,5.35814575,6.143448,5.83606
"Q74FJ7",6.452058,6.121461,6.186513,6.296863,6.456305,6.341118,6.456305,6.223437,6.32777
"Q74GX5",6.933734,6.65866,6.689955,6.727899,6.986356,6.707153,6.986356,6.633143,6.6953755
"A0A0D5N5V6",5.549724,5.344715,5.2339015,5.338277,5.0936305,5.21324,5.0936305,5.392737,5.3390235
"Q74F66",6.4941855,6.647852,6.6559085,6.100887,6.47979925,6.125741,6.47979925,6.6568245,6.1351925
"A0LPK0",4.6143925,5.444074,5.541151,5.314558,4.75735575,5.078296,4.75735575,5.4753675,5.3200225
"Q74FF8",6.674827,6.677762,6.610822,6.483074,6.665045,6.23259,6.665045,6.7348805,6.475954
"Q74E75",6.6592375,6.567203,6.5266255,6.848688,6.66625375,6.693876,6.66625375,6.591087,6.788752
"Q74AK1",5.170749,6.330414,6.370385,5.324574,5.092276,5.537774,5.092276,6.5799585,5.586831
"Q74A63",7.5134825,6.104419,5.9453085,7.036629,7.49376925,7.029465,7.49376925,5.988608,7.1333215
"Q749Y4",5.775314,5.469528,5.412294,5.506654,5.635061,5.625816,5.635061,5.35388,5.5517465
"Q74DI8",6.2536935,5.236567,5.3878215,6.282146,6.34895525,6.108464,6.34895525,5.1139985,6.313446
"Q74G63",6.35181,6.815797,6.9139375,6.356275,6.3284085,6.455682,6.3284085,6.869386,6.3993225
"P61655",7.237028,7.063334,7.091674,6.74071,7.203777,6.794397,7.203777,7.06589,6.8545615
"Q74E14",6.579971,5.108524,5.2870945,6.419278,6.615183,6.385606,6.615183,5.186082,6.3729195
"Q6JGH6",7.305341,6.028571,5.9375375,6.762153,7.1809705,6.478133,7.1809705,5.786169,6.182703
"Q74BQ7",5.0428335,5.744473,5.848102,6.012542,4.93119125,6.105101,4.93119125,5.377521,5.8758435
"Q74G69",6.008575,5.20092,5.408527,5.997504,5.97368,5.740134,5.97368,5.396085,5.9325155
"Q747R2",5.915987,6.412209,6.3811315,6.109342,5.984398,5.874064,5.984398,6.403925,6.1901385
"Q74F74",5.519007,5.169644,5.174688,5.458396,5.5529265,5.454586,5.5529265,5.2989345,5.4530635
"Q748N1",6.484825,6.031853,5.3595005,6.235427,6.57002,6.002512,6.57002,5.700308,6.339298
"Q74BW2",7.1571475,6.401487,6.465773,6.870954,7.10524775,6.846077,7.10524775,6.3466945,6.9228455
"Q74BU2",6.5073065,6.187098,6.276134,6.35803,6.40787125,6.168321,6.40787125,6.1637245,6.371299
"Q74B42",5.949227,6.007662,5.701977,5.959762,6.010757,6.273071,6.010757,5.5775915,6.0544755
"Q74E40",6.2346685,6.350461,6.3708305,5.912907,6.17505625,5.915268,6.17505625,6.389241,5.873094
"Q74H76",8.317207,8.340702,8.309625,8.461469,8.3093245,8.464415,8.3093245,8.3649875,8.409616
"A0LIL7",4.8008305,5.019121,5.285299,5.13999,4.97020575,5.342366,4.97020575,5.014062,5.321642
"Q747Q6",6.8416085,6.762941,6.78418,6.687377,6.87294025,6.647872,6.87294025,6.736046,6.574565
"Q74FL5",6.907168,6.92609,6.9936395,7.126132,6.747507,7.058312,6.747507,7.04939,7.0344595
"Q74ED5",6.1716515,5.139554,5.5628135,5.245439,6.07588875,5.764803,6.07588875,5.5861265,5.589989
"Q74A20",5.2838965,6.132388,6.18212,5.795087,5.66906325,5.864938,5.66906325,6.1085895,5.7254345
"Q74BR6",6.630057,6.675806,6.6529845,6.275242,6.652436,6.286838,6.652436,6.6135,6.268193
"Q74G74",4.9063665,5.086452,5.052667,5.584058,5.04556675,5.594187,5.04556675,5.0488,5.3238085
"Q749C0",5.733338,6.114144,6.01578,5.844098,5.6250095,5.995929,5.6250095,6.2311755,5.8673435
"Q6F2B7",6.3566095,5.966653,5.944863,6.691356,6.49821225,6.659659,6.49821225,6.101204,6.635484
"Q749D0",6.648162,6.996879,7.0746755,6.795359,6.646812,6.808515,6.646812,6.9958335,6.870709
"I7F9M3",7.064413,7.428394,7.375472,6.83866,7.0386885,6.812833,7.0386885,7.3609005,6.7691925
"Q74H65",6.97449,7.545975,7.4032855,6.633883,6.979484,6.771602,6.979484,7.4620955,6.7954575
"Q74CR2",6.4918015,6.799809,6.809979,6.430607,6.51570225,6.542178,6.51570225,6.710342,6.4194995
"Q74FZ1",6.098392,5.009133,5.241801,4.861149,5.469157,5.218725,5.469157,5.2418605,5.124228
"Q74H63",6.0904585,4.97625,5.3817525,5.910331,6.08970475,5.70763,6.08970475,5.3568725,5.875836
"Q74BT1",6.11692,6.701395,6.716258,5.563517,6.079334,6.434793,6.079334,6.777346,5.8931685
"Q74A92",5.040818,5.171644,5.259673,5.245425,4.8960995,5.343401,4.8960995,5.2553755,5.8050255
"Q748Y1",6.9329035,6.130816,6.029401,6.379614,6.91227625,6.591187,6.91227625,6.20681,6.434709
"Q74CQ1",6.3672055,7.366722,7.3254635,6.730185,6.37114175,7.015737,6.37114175,7.3344075,6.830121
"P60715",6.270334,5.784724,5.735597,6.188113,5.4869635,6.213571,5.4869635,5.76176,6.121765
"Q74FW4",6.649703,5.680063,5.985827,6.2294,6.6009115,6.111901,6.6009115,5.7652565,6.2457595
"Q74C79",6.7359785,6.449077,6.5967905,6.624168,6.81626625,6.669112,6.81626625,6.449185,6.591738
"Q74F10",6.296661,5.934064,5.6685615,6.298744,6.2854095,6.396234,6.2854095,5.730771,6.260301
"Q74CC8",6.529993,6.574887,6.6291335,6.705547,6.58307,6.5148,6.58307,6.484678,6.8086265
"Q746X6",6.405594,6.64605,6.7280035,6.508489,6.3258615,6.477353,6.3258615,6.652812,6.518542
"Q74G90",7.0141425,6.755639,6.6870895,7.669456,7.01988775,7.664905,7.01988775,6.876984,7.531428
"Q74BF5",6.409655,6.183811,6.2625435,6.019905,6.38885,6.411013,6.38885,6.2177855,6.073667
"Q74EU7",7.0583445,6.708047,6.878807,6.739192,7.07197825,6.809829,7.07197825,6.755099,6.762968
"Q74FL6",7.2120515,7.602602,7.6212835,7.437624,7.16839175,7.384264,7.16839175,7.581929,7.275784
"Q74CU4",5.888878,5.461405,5.4883955,5.207543,5.814067,5.646268,5.814067,5.2861065,5.125425
"Q74CT6",5.185835,5.608193,5.7760165,5.636786,4.8819045,5.453636,4.8819045,5.432148,5.6395045
"Q749N9",5.877231,6.111531,6.413098,6.280601,5.8202995,6.346098,5.8202995,6.2942105,6.2855735
"Q74DS2",6.4329745,6.587239,6.464841,5.107434,6.42259975,5.941184,6.42259975,6.6495735,5.5876055
"Q74GE2",6.807847,5.183434,5.3376705,7.23472,6.6943915,6.971888,6.6943915,5.2851345,7.1776635
"Q74C73",6.8716835,6.77183,6.6814865,6.529905,6.90414125,6.611139,6.90414125,6.883827,6.5768355
"P60859",6.588763,6.517618,6.5766515,6.584569,6.6296485,6.556061,6.6296485,6.50656,6.5732645
"Q74FX6",5.9724905,5.24181,5.5956925,6.074305,6.04736975,6.12064,6.04736975,5.4042035,6.1817575
"Q74F00",5.992405,5.702336,5.7346975,5.564938,5.946293,5.528737,5.946293,5.949767,5.69767
"A0LHD8",5.141216,5.242109,5.3161345,5.007133,5.0248835,5.131907,5.0248835,5.4546045,5.292291
"Q74CA7",5.1152045,5.314361,5.304932,4.604485,4.83341025,5.340142,4.83341025,5.309878,5.0938425
"Q74CE7",5.291218,5.222023,5.246621,5.321557,5.279723,5.413685,5.279723,5.51314,5.386134
"Q74E91",5.269037,5.295573,5.306166,5.841904,5.0012525,5.259717,5.0012525,5.500831,5.8512945
"Q74C81",8.158794,7.243782,7.013921,8.255466,8.1241905,8.221935,8.1241905,7.0832045,8.213333
"Q74AI3",6.52098,6.572616,6.682248,6.561829,6.565831,6.389503,6.565831,6.5815115,6.5715025
"Q74AN4",5.223417,5.195609,5.459565,5.278972,4.991837,5.522115,4.991837,5.249886,5.252076
"Q74DQ4",6.430216,6.48313,6.693102,6.091913,6.4433745,6.121297,6.4433745,6.499826,6.2163275
"Q74BM2",7.4313705,7.122773,7.0736295,7.460838,7.50900725,7.395344,7.50900725,7.1731215,7.462261
"Q74A39",6.586932,6.506694,6.5440375,6.661822,6.554675,6.737638,6.554675,6.5507365,6.6777875
"CON__sp|P02538|K2C6A_HUMAN",5.202802,5.336851,5.471785,5.035027,5.0134945,5.421344,5.0134945,5.964075,5.164121
"A0A0D5NBX4",5.4144565,5.727947,5.616427,5.394492,5.55000975,5.178046,5.55000975,5.460744,5.1027575
"Q74EU2",6.72649,6.810925,6.7813715,6.733927,6.801769,6.620812,6.801769,6.706422,6.710371
"Q748C1",6.3593175,6.385963,6.3285305,6.406438,6.60714875,6.366983,6.60714875,6.0228455,6.461308
"Q74FY6",6.5189975,6.953624,6.998139,6.783146,6.55487525,6.654273,6.55487525,6.9482795,6.820242
"Q74GC5",6.7978335,7.064158,7.0311105,6.683992,6.77002025,6.702189,6.77002025,7.0245475,6.6688145
"Q74FX3",6.0660095,5.949009,6.0294795,6.047119,5.75642075,5.912127,5.75642075,5.9677695,6.0334915
"Q74AJ2",5.6126415,5.350478,5.261615,5.529956,5.24432275,5.745879,5.24432275,5.4302865,5.5762095
"I7FK67",5.087913,5.400553,5.2131325,5.09475,5.036282,5.272909,5.036282,5.514329,5.3617685
"Q74A77",7.885375,8.185825,8.2566225,7.589402,7.88049,7.733639,7.88049,8.3834605,7.6623285
"Q748M6",6.0133,5.942905,5.976751,6.05123,6.0063785,5.619114,6.0063785,5.9035715,5.9739855
"Q746Y8",5.9392195,5.968137,5.9008845,5.846832,5.99433475,5.958712,5.99433475,5.5575875,5.9073165
"Q74FR3",5.157706,6.329947,6.108402,5.662909,5.154277,5.886575,5.154277,6.3897665,5.691584
"Q74AW7",7.078332,6.432617,6.153917,7.165719,7.069137,7.017492,7.069137,6.3618265,7.0528535
"Q74BL7",5.157202,5.058916,5.0053745,5.52511,5.060825,4.974285,5.060825,5.3088405,5.364927
"Q74CU2",6.645378,6.417621,6.4363855,6.263328,6.5956825,6.129625,6.5956825,6.464739,6.2406295
"Q74F19",5.541045,7.229016,7.2298855,6.662191,5.519333,6.683776,5.519333,7.2006925,6.606216
"Q746U3",4.9065245,5.566187,5.302352,4.9269,4.81273375,5.399457,4.81273375,5.56332,5.2910385
"Q746T4",5.917191,5.840451,5.826525,6.278456,5.850708,6.283075,5.850708,5.935566,6.065998
"Q74E03",6.524459,7.216218,7.2315675,6.735798,6.626901,6.817949,6.626901,7.1751655,6.7216925
"Q74E32",6.1442725,5.663144,5.637661,5.770587,5.91191825,5.607358,5.91191825,5.5237525,5.944128
"Q74CQ0",4.6627445,6.033021,5.7425265,4.982816,4.78396525,5.512773,4.78396525,6.05401,5.229991
"Q74A30",5.9103125,6.28416,6.486761,5.586666,5.84010325,5.955105,5.84010325,6.284092,5.813535
"Q74EY8",7.2696855,5.113305,5.29192,7.392204,5.93360825,7.320354,5.93360825,5.3982475,6.1026915
"Q74EQ0",4.9878715,5.780468,5.8808805,5.628133,4.83879825,5.309048,4.83879825,5.770083,5.590668
"Q748D8",6.588885,6.381368,6.4588495,6.476629,6.5356365,6.394189,6.5356365,6.4927645,6.453376
"Q748W0",4.9552255,5.520757,5.5819275,5.133841,5.07354625,5.149487,5.07354625,5.4498045,5.2366485
"Q74BU0",6.5767455,6.611468,6.4399525,6.5645,6.60704775,6.588563,6.60704775,6.5620025,6.4850425
"Q74DQ7",5.8358545,5.67615,5.498352,5.62155,5.77404175,5.786695,5.77404175,5.7631715,5.6602775
"Q74BN4",5.2101305,7.62674,7.583153,4.980016,5.12982125,6.184266,5.12982125,7.5463885,4.7598645
"P60551",6.220311,5.170783,5.459784,6.015569,6.23473,6.054383,6.23473,5.5527595,6.022456
"Q749Y0",7.0158625,5.270835,5.1710025,6.43802,7.06140025,6.579841,7.06140025,5.4912665,6.5962185
"Q74FL3",7.304853,6.760159,6.9773505,6.908088,7.2828555,7.057932,7.2828555,6.772035,6.936541
"Q74A67",6.069812,5.802863,5.863323,6.076786,6.1369255,5.934806,6.1369255,5.814326,6.009682
"Q74BR0",6.1295145,6.769267,6.8338315,6.230091,6.24605525,7.004235,6.24605525,6.766512,6.188249
"P61740",6.129685,6.018201,6.0506905,5.737908,6.169345,5.768113,6.169345,6.0983585,5.7474015
"Q74F47",6.450128,5.943604,5.7492305,6.086324,6.441565,5.909283,6.441565,6.050938,6.0764925
"Q74EY6",5.2655515,5.618831,5.370867,5.578921,5.19237125,5.262362,5.19237125,5.5549145,5.166484
"Q74AP6",6.4049605,5.590566,5.3682305,6.342956,6.39001925,6.444419,6.39001925,5.433663,6.3587605
"Q74F31",5.2468095,7.658193,7.660636,7.650978,5.01525775,7.625426,5.01525775,7.686885,7.5104955
"Q74BZ3",6.6582035,6.458985,6.3792025,6.521791,6.58512325,6.394469,6.58512325,6.4433005,6.50333
"Q74EY9",6.2291165,6.653907,6.6374795,6.275657,6.32240375,6.25081,6.32240375,6.568868,6.221354
"Q74C57",6.5382765,6.224507,6.1160635,6.52277,6.55590475,6.592144,6.55590475,6.209982,6.5438245
"Q74DA9",5.0549955,5.426248,5.243091,5.39496,4.98769775,5.126672,4.98769775,5.5326205,5.1865175
"Q746Y7",6.8854195,6.953504,6.9407935,6.794551,6.90680275,6.410659,6.90680275,6.884886,6.820951
"Q74EG3",7.0969255,6.748397,6.876402,6.894355,7.20923075,6.989917,7.20923075,6.7320205,6.948174
"Q74H24",5.4642895,6.322529,6.1277395,5.943133,5.10969425,5.914385,5.10969425,6.122744,5.8639715
"Q748I9",6.2719875,6.229759,6.3002745,5.992496,6.20631075,5.994344,6.20631075,6.153145,5.9525505
"Q749L1",4.480728,4.955682,4.9250875,5.472476,4.8383575,5.151161,4.8383575,5.213765,5.4378935
"Q746Q2",6.9325885,6.882342,6.8729215,6.949575,6.97839325,6.657333,6.97839325,6.8588705,6.9317605
"Q748U5",5.871184,5.05929,5.559748,6.348247,6.041459,6.518422,6.041459,5.1874515,6.429945
"Q74AD3",5.1145845,5.414203,5.2866365,5.172395,5.07867675,5.558756,5.07867675,5.189824,5.393076
"Q74G12",6.05409,5.647735,5.6414935,5.650035,5.935252,5.822488,5.935252,5.5389215,5.7867715
"Q74D24",6.2058015,5.977051,5.9834525,6.068964,6.21497275,6.105033,6.21497275,5.5674305,6.2180855
"Q749P5",7.1459705,7.984613,7.9875915,7.208817,7.24037275,7.241472,7.24037275,7.953376,7.192396
"Q746U4",5.211888,5.080506,5.16,5.765326,5.141443,5.866092,5.141443,5.1989325,5.6710815
"Q748A6",6.4745775,6.454708,6.4591735,6.390476,6.46472625,6.266208,6.46472625,6.4519465,6.407883
"Q74BA5",4.6277565,5.222694,5.4015065,5.330161,4.84139125,5.478236,4.84139125,5.323707,5.443724
"Q74BD2",5.3008215,4.933201,5.1214435,5.591053,5.04840025,5.551682,5.04840025,5.0410025,5.5888255
"Q747X1",5.652328,5.584558,5.5904675,5.713398,5.6882115,5.66833,5.6882115,5.5208385,5.809705
"Q74EF6",6.1361895,6.56705,6.5068865,5.597212,6.07767375,5.744786,6.07767375,6.6689365,5.689157
"Q74FK2",5.082207,5.304895,5.2171675,4.863112,4.9535825,5.277761,4.9535825,5.322216,5.264093
"Q74GK9",6.2248145,5.735639,5.750158,5.546617,6.26681725,5.913761,6.26681725,5.8229395,5.563503
"Q747C6",6.640523,6.492886,6.3739585,6.880905,6.6060575,6.958028,6.6060575,6.4950805,6.8935905
"Q74E90",6.3731355,6.543646,6.509724,6.30882,6.36400625,6.446925,6.36400625,6.550901,6.353545
"Q74CT7",4.82269,5.394708,5.217913,5.082836,4.997176,5.305361,4.997176,5.536779,5.2622055
"Q747R3",5.2386005,5.116092,5.5658515,5.723718,5.47196275,5.740883,5.47196275,5.687867,5.7636455
"Q74E61",7.1463835,6.855725,6.7529095,7.35824,7.18518625,7.155002,7.18518625,6.8379305,7.2948805
"Q748D2",6.623444,6.357592,6.250943,6.774086,6.6236925,6.731766,6.6236925,6.2812765,6.7613425
"Q74CM9",7.2189555,5.971327,6.0255435,7.388669,7.12305075,7.265973,7.12305075,5.941639,7.297275
"Q74EH6",5.1687615,6.043127,6.1429955,5.442589,5.38872925,5.509767,5.38872925,5.9620475,5.47945
"Q74GC9",5.55745,5.640571,5.5001655,5.605542,5.716542,5.499013,5.716542,5.7402285,5.5910855
"Q74CY3",4.702342,6.08732,5.833786,4.661065,4.4961995,4.909273,4.4961995,6.0768415,4.7405775
"Q74AD6",6.0646635,5.81781,5.5597485,6.045557,6.00574675,6.065019,6.00574675,5.838819,6.0845575
"Q74BH8",6.0436695,5.008996,5.412011,5.995433,5.99970775,5.343074,5.99970775,5.377215,6.0225965
"Q74GV3",5.7375205,5.596652,5.524526,5.689069,5.76256475,5.645648,5.76256475,5.6255925,5.737071
"Q74FJ1",6.6857935,7.212587,7.2328535,6.780792,6.69320125,6.773231,6.69320125,7.178456,6.8238085
"Q749Y7",6.3229925,5.173582,5.332797,5.7272,6.34915425,5.884705,6.34915425,5.3795305,5.7519325
"Q74DH0",7.601832,7.526843,7.5474815,7.672209,7.698696,7.655647,7.698696,7.5882255,7.6874535
"Q74BM8",7.6251565,7.153998,7.0613455,7.825523,7.60032225,7.68977,7.60032225,7.108102,7.7667935
"A0LJ30",5.1888085,5.586462,5.433366,5.272285,5.29738625,5.069448,5.29738625,5.4871465,5.2785885
"Q74GX8",5.869161,6.38945,6.43018,6.039057,5.863753,5.952313,5.863753,6.3394305,6.0171555
"Q748C9",6.3017635,6.598659,6.5325185,6.359911,6.29057825,6.166223,6.29057825,6.694729,6.357096
"Q74CD7",7.0276,6.841997,6.7041465,6.917059,7.071555,7.254524,7.071555,6.839733,7.0079205
"A0A0D5NDJ0",5.9809315,6.723045,6.724931,6.2154,5.98787075,6.177883,5.98787075,6.661333,6.225363
"Q74D55",5.318847,5.481049,5.3612565,5.694105,5.49777,5.82949,5.49777,5.50188,5.470236
"A0A0D5N606",5.6147625,5.285294,5.2443795,5.333629,5.30039075,5.554357,5.30039075,5.3921885,5.2431245
"Q748L5",5.7880975,5.911115,5.6737275,5.798119,5.88431425,6.067257,5.88431425,5.8803655,5.9854045
"Q74ES7",5.5264945,6.280828,6.4383935,5.970826,5.92321675,5.927689,5.92321675,6.3429075,5.95452
